j,omega_j/au,Sj_11,Sj_21,Sj_12,Sj_22,Sj_13,Sj_23
34.0,0.000111703092157149,0.0,11.032705206029261,7.8013006660154165,10.26708907377186,0.0,0.0
35.0,0.00011696105031935164,0.0,10.536732382334302,7.450594919096471,9.805534354058743,0.0,0.0
36.0,0.00012242938183300683,0.0,10.066107236028646,7.117812686746831,9.367568306091062,0.0,0.0
37.0,0.00012812562512622442,0.0,9.618585549593563,6.801367067540543,8.951102450141008,0.0,0.0
38.0,0.0001340696076048379,0.0,9.192145098269636,6.499828132637142,8.55425489402127,0.0,0.0
39.0,0.00014028386215988873,0.0,8.78495407381306,6.2119005980056,8.175320948079218,0.0,0.0
40.0,0.00014679414294460855,0.0,8.395343721832106,5.936404476099391,7.812747661369263,0.0,0.0
41.0,0.0001536300702398129,0.0,8.02178430595011,5.672258079953145,7.465111453786134,0.0,0.0
42.0,0.00016082594522985038,0.0,7.662863629437601,5.418462835683087,7.131098128191382,0.0,0.0
43.0,0.00016842179141419704,0.0,7.317267415479233,5.174089409240729,6.809484612194436,0.0,0.0
44.0,0.00017646470278243377,0.0,6.983760870813778,4.93826466993769,6.499121801186411,0.0,0.0
45.0,0.00018501061401220582,0.0,6.66117072769911,4.710158992197369,6.198917846505459,0.0,0.0
46.0,0.00019412666186886308,0.0,6.348366960558202,4.488973327271336,5.907821140858689,0.0,0.0
47.0,0.00020389439180913216,0.0,6.044243176268408,4.273925337079908,5.624802069430088,0.0,0.0
48.0,0.00021441420099538728,0.0,5.747694325518377,4.064233633761483,5.348832267960966,0.0,0.0
49.0,0.0002258116379678192,0.0,5.457589774657114,3.859098738594407,5.078859563281842,0.0,0.0
50.0,0.0002382465756184913,0.0,5.172738719003412,3.6576786255135274,4.813775786770145,0.0,0.0
51.0,0.0002519269893859927,0.0,4.89184302712215,3.4590553769782,4.5523728910045955,0.0,0.0
52.0,0.00026713042791419526,0.0,4.613429087784781,3.262186992495887,4.293279526215484,0.0,0.0
53.0,0.0002842389851996815,0.0,4.33574333762125,3.0658335155163803,4.03486381780989,0.0,0.0
54.0,0.00030379944783465656,0.0,4.056581719142799,2.8684364420432558,3.7750746591790367,0.0,0.0
55.0,0.00032663408037727744,0.0,3.772990512650364,2.6679071768475806,3.51116330441855,0.0,0.0
56.0,0.0003540637694039758,0.0,3.48069300749501,2.4612216288283197,3.2391498258175564,0.0,0.0
57.0,0.00038841595321333495,0.0,3.172854451976805,2.2435468987107257,2.9526737702333437,0.0,0.0
58.0,0.0004344083627945252,0.0,2.8369326926486043,2.0060143447416396,2.640063348724394,0.0,0.0
59.0,0.0005042331469988195,0.0,2.4440822538281672,1.7282271354595975,2.2744748214577033,0.0,0.0
60.0,0.0006544025245936631,0.0,1.883225140576846,1.331641267402877,1.7525384666040473,0.0,0.0
