time,sigma_0_0_real,sigma_0_0_imag,sigma_0_1_real,sigma_0_1_imag,sigma_0_2_real,sigma_0_2_imag,sigma_1_0_real,sigma_1_0_imag,sigma_1_1_real,sigma_1_1_imag,sigma_1_2_real,sigma_1_2_imag,sigma_2_0_real,sigma_2_0_imag,sigma_2_1_real,sigma_2_1_imag,sigma_2_2_real,sigma_2_2_imag
4.51666162328150022631,0.14915676576725908631,0.00000000000000000000,-0.13847698397195659648,-0.00800276183314099950,-0.02521689328869750057,-0.03559777640048179814,-0.13847698397196028797,0.00800276183314129960,0.53677949712529604565,-0.00000000000000040000,-0.02103878658730240145,-0.05563739828398889947,-0.02521689328869779895,0.03559777640048159691,-0.02103878658729909853,0.05563739828398830273,0.31406372957908157417,0.00000000000000040000
4.51726634434499985105,0.14924351410264619089,0.00000000000000020000,-0.13836588107433100969,-0.00862018974286240039,-0.02534882289241389974,-0.03591969639085790256,-0.13836588107433270278,0.00862018974286289999,0.53699431102666572713,-0.00000000000000000000,-0.02112871776217779829,-0.05527758857445610324,-0.02534882289241420159,0.03591969639085829807,-0.02112871776217799952,0.05527758857445429913,0.31376216734123207885,0.00000000000000010000
4.51787106540850036396,0.14933351668530178702,0.00000000000000010000,-0.13825566256635299367,-0.00923834557129189944,-0.02547865365213899946,-0.03624064708589239819,-0.13825566256635429818,0.00923834557129189944,0.53720466731468974331,0.00000000000000000000,-0.02122045544395039993,-0.05491632394379269977,-0.02547865365213939845,0.03624064708589370271,-0.02122045544394830091,0.05491632394379319937,0.31346180846958537902,-0.00000000000000010000
4.51847578647199998869,0.14942677544559671010,-0.00000000000000000000,-0.13814633341160359459,-0.00985720301439570006,-0.02560637975997059890,-0.03656062641156990201,-0.13814633341160370561,0.00985720301439619966,0.53741055615345778573,0.00000000000000040000,-0.02131399967654189903,-0.05455362634278670270,-0.02560637975997109850,0.03656062641157029752,-0.02131399967654040023,0.05455362634278879824,0.31316266086957389447,0.00000000000000020000
4.51908050753549961343,0.14952329219113000280,-0.00000000000000000000,-0.13803789850272529804,-0.01047673571787450034,-0.02573199552353840069,-0.03687963231463219776,-0.13803789850272590867,0.01047673571787489932,0.53761196792721255289,-0.00000000000000070000,-0.02140935044127530162,-0.05418951777978629758,-0.02573199552353830008,0.03687963231463149694,-0.02140935044127309853,0.05418951777978629758,0.31286473234936662546,0.00000000000000000000
4.51968522859900012634,0.14962306860651830576,0.00000000000000030000,-0.13793036266119748645,-0.01109691727844180041,-0.02585549536625479997,-0.03719766276247579717,-0.13793036266119801381,0.01109691727844189929,0.53780889324083558378,-0.00000000000000030000,-0.02150650765677280044,-0.05382402031951549759,-0.02585549536625509834,0.03719766276247649800,-0.02150650765677120102,0.05382402031951549759,0.31256803061948068567,0.00000000000000000000
4.52028994966249975107,0.14972610625319759947,0.00000000000000020000,-0.13782373063714600803,-0.01171772124509420053,-0.02597687382756439997,-0.03751471574309499929,-0.13782373063714750683,0.01171772124509500024,0.53800132292020685920,0.00000000000000020000,-0.02160547117889749860,-0.05345715608184840179,-0.02597687382756479896,0.03751471574309479806,-0.02160547117889670063,0.05345715608184849893,0.31227256329254909906,0.00000000000000000000
4.52089467072600026398,0.14983240656923679790,-0.00000000000000000000,-0.13771800710914719468,-0.01233912112040069960,-0.02609612556317689874,-0.03783078926498890243,-0.13771800710914730570,0.01233912112040090082,0.53818924801273926306,-0.00000000000000060000,-0.02170624080069069942,-0.05308894724061399839,-0.02609612556317670098,0.03783078926499020000,-0.02170624080068839917,0.05308894724061460207,0.31197833788301237989,-0.00000000000000000000
4.52149939178949988872,0.14994197086920330042,-0.00000000000000000000,-0.13761319668408719674,-0.01296109036178440081,-0.02621324534532309958,-0.03814588135710030026,-0.13761319668408980577,0.01296109036178419958,0.53837265978800052935,0.00000000000000020000,-0.02180881625229180026,-0.05271941602241499852,-0.02621324534532249936,0.03814588135710170191,-0.02180881625228950002,0.05271941602241429770,0.31168536180695838311,-0.00000000000000030000
4.52210411285300040163,0.15005480034391210920,0.00000000000000000000,-0.13750930389690829703,-0.01358360238280249994,-0.02632822806295929963,-0.03845999006872000137,-0.13750930389691040645,0.01358360238280260056,0.53855154973784757910,0.00000000000000040000,-0.02191319720088660133,-0.05234858470536959962,-0.02632822806295929963,0.03845999006872020259,-0.02191319720088559866,0.05234858470536959962,0.31139364238169298105,-0.00000000000000060000
4.52270883391650002636,0.15017089606024511261,-0.00000000000000000000,-0.13740633321041101356,-0.01420663055443279962,-0.02644106872199390029,-0.03877311346939899678,-0.13740633321041290094,0.01420663055443300085,0.53872590957683630375,0.00000000000000020000,-0.02201938325064059856,-0.05197647561791460258,-0.02644106872199340069,0.03877311346939910086,-0.02201938325063789934,0.05197647561791440135,0.31110318682545318181,0.00000000000000020000
4.52331355497999965110,0.15029025896113029637,-0.00000000000000000000,-0.13730428901521621321,-0.01483014820638010010,-0.02655176244552830134,-0.03908524964891210013,-0.13730428901521721241,0.01483014820637880080,0.53889573124313117081,-0.00000000000000050000,-0.02212737394265220162,-0.05160311113762280216,-0.02655176244552870032,0.03908524964891219727,-0.02212737394265090057,0.05160311113762300339,0.31081400225745198229,0.00000000000000040000
4.52391827604350016401,0.15041288986520170989,-0.00000000000000000000,-0.13720317562942860312,-0.01545412862834339915,-0.02666030447403840153,-0.03939639671712610175,-0.13720317562943110112,0.01545412862834360038,0.53906100689825553474,-0.00000000000000020000,-0.02223716875488570069,-0.05122851368994189858,-0.02666030447403859929,0.03939639671712529684,-0.02223716875488369882,0.05122851368994060101,0.31052609569726047356,0.00000000000000000000
4.52452299710699978874,0.15053878946681759077,-0.00000000000000000000,-0.13710299729861610829,-0.01607854507133979829,-0.02676669016560059844,-0.03970655280396649667,-0.13710299729861710749,0.01607854507133960054,0.53922172892814157485,-0.00000000000000010000,-0.02234876710214030171,-0.05085270574701940272,-0.02676669016560119865,0.03970655280396680198,-0.02234876710213720002,0.05085270574701929863,0.31023947406489860157,0.00000000000000010000
4.52512771817050030165,0.15066795833575791219,-0.00000000000000010000,-0.13700375819550630885,-0.01670337074897109905,-0.02687091499607199840,-0.04001571605929250125,-0.13700375819550889012,0.01670337074897070007,0.53937788994289226352,-0.00000000000000060000,-0.02246216833598009902,-0.05047570982642989729,-0.02687091499607259862,0.04001571605929320208,-0.02246216833597669896,0.05047570982643090343,0.30995414418028677250,-0.00000000000000010000
4.52573243923399992639,0.15080039691720578676,-0.00000000000000000000,-0.13690546241995030230,-0.01732857883874589985,-0.02697297455929899973,-0.04032388465285750151,-0.13690546241995291132,0.01732857883874540025,0.53952948277760737206,0.00000000000000010000,-0.02257737174470990024,-0.05009754849000330051,-0.02697297455929899973,0.04032388465285779988,-0.02257737174470900166,0.05009754849000320337,0.30967011276327072178,-0.00000000000000020000
4.52633716029750043930,0.15093610553153311016,-0.00000000000000000000,-0.13680811399867290334,-0.01795414248336529850,-0.02707286456728889845,-0.04063105677419440176,-0.13680811399867479072,0.01795414248336510074,0.53967650049249804578,-0.00000000000000020000,-0.02269437655332209869,-0.04971824434256059966,-0.02707286456728870069,0.04063105677419420053,-0.02269437655332030152,0.04971824434256050251,0.30938738643321517241,-0.00000000000000040000
4.52694188136100006403,0.15107508437419850389,-0.00000000000000000000,-0.13671171688516758902,-0.01858003479203310104,-0.02717058085039689846,-0.04093723063254389727,-0.13671171688516980947,0.01858003479203289982,0.53981893637328137725,-0.00000000000000060000,-0.02281318192345600099,-0.04933782003070429772,-0.02717058085039670071,0.04093723063254470218,-0.02281318192345409973,0.04933782003070460304,0.30910597170884257512,-0.00000000000000030000
4.52754660242449968877,0.15121733351567490100,-0.00000000000000010000,-0.13661627495957739953,-0.01920622884176029915,-0.02726611935750759830,-0.04124240445679529937,-0.13661627495957770484,0.01920622884176099998,0.53995678393171886444,0.00000000000000000000,-0.02293378695337830106,-0.04895629824159979798,-0.02726611935750719931,0.04124240445679470263,-0.02293378695337670165,0.04895629824159929838,0.30882587500814201453,-0.00000000000000000000
4.52815132348800020168,0.15136285290122250546,-0.00000000000000010000,-0.13652179202845521333,-0.01983269767866360084,-0.02735947615618020134,-0.04154657649536149661,-0.13652179202845779460,0.01983269767866420105,0.54009003690551726784,0.00000000000000030000,-0.02305619067793340110,-0.04857370170171009666,-0.02735947615617960113,0.04154657649536230152,-0.02305619067793239843,0.04857370170171099871,0.30854710264789581009,-0.00000000000000020000
4.52875604455149982641,0.15151164235090880394,-0.00000000000000000000,-0.13642827182475358860,-0.02045941431928489929,-0.02745064743283609845,-0.04184974501613879933,-0.13642827182475519843,0.02045941431928580134,0.54021868925917493343,-0.00000000000000090000,-0.02318039206852489861,-0.04819005317561580320,-0.02745064743283660152,0.04184974501614009690,-0.02318039206852279960,0.04819005317561529667,0.30826966084377832589,0.00000000000000030000
4.52936076561500033932,0.15166370155937081154,-0.00000000000000000000,-0.13633571800756280612,-0.02108635175188949828,-0.02753962949289099835,-0.04215190830638700092,-0.13633571800756449921,0.02108635175188930053,0.54034273518376330081,-0.00000000000000020000,-0.02330639003308010090,-0.04780537546472379828,-0.02753962949289109896,0.04215190830638700092,-0.02330639003307830026,0.04780537546472279908,0.30799355570988679043,-0.00000000000000000000
4.52996548667849996406,0.15181903009582831121,-0.00000000000000000000,-0.13624413416208180916,-0.02171348293778049832,-0.02762641876091850163,-0.04245306467267889738,-0.13624413416208461247,0.02171348293778100139,0.54046216909761646274,-0.00000000000000080000,-0.02343418341604560154,-0.04741969140607540240,-0.02762641876091880000,0.04245306467267920270,-0.02343418341604349905,0.04741969140607570077,0.30771879325875461930,-0.00000000000000030000
4.53057020774199958879,0.15197762740390360903,-0.00000000000000000000,-0.13615352379941569883,-0.02234078081261409859,-0.02771101178078369878,-0.04275321244078540001,-0.13615352379941658700,0.02234078081261500065,0.54057698564635170424,0.00000000000000050000,-0.02356377099833949912,-0.04703302387108460048,-0.02771101178078510044,0.04275321244078549715,-0.02356377099833810093,0.04703302387108609928,0.30744537940101712703,-0.00000000000000000000
