time,sigma_0_1_real,sigma_0_1_imag,sigma_1_0_real,sigma_1_0_imag,sigma_0_0_real,sigma_0_0_imag,sigma_1_1_real,sigma_1_1_imag
11.87279999999999979821,-0.29942239027339140334,0.03366184699558680271,-0.29942239027339240254,-0.03366184699558710108,0.14655813634949230173,0.00000000000000000000,0.85344186364659990751,0.00000000000000000000
11.87640000000000028990,-0.29923659262153701199,0.03371612735080659756,-0.29923659262153812222,-0.03371612735080690287,0.14631557147715310019,0.00000000000000000000,0.85368442851909143165,0.00000000000000000000
11.88000000000000078160,-0.29905091825542429174,0.03376341757327810250,-0.29905091825542678974,-0.03376341757327790127,0.14607264091721680610,0.00000000000000000000,0.85392735907915429117,0.00000000000000000000
11.88359999999999949694,-0.29886542347996908342,0.03380368281708780176,-0.29886542347997158142,-0.03380368281708810013,0.14582939515062401381,0.00000000000000000000,0.85417060484559270694,0.00000000000000000000
11.88719999999999998863,-0.29868015900488931180,0.03383693460507190137,-0.29868015900488448233,-0.03383693460507179729,0.14558588474447439753,0.00000000000000000000,0.85441411525157917595,0.00000000000000000000
11.89080000000000048033,-0.29849516914660201294,0.03386323402345439715,-0.29849516914660140232,-0.03386323402345370326,0.14534216000615091113,0.00000000000000000000,0.85465783998991362580,0.00000000000000000000
11.89439999999999919567,-0.29831049110563939708,0.03388269417310649928,-0.29831049110564289428,-0.03388269417310590254,0.14509827061714131169,0.00000000000000000000,0.85490172937895070326,0.00000000000000000000
11.89799999999999968736,-0.29812615433402261944,0.03389548181625089834,-0.29812615433402378518,-0.03389548181624949669,0.14485426525218458860,0.00000000000000000000,0.85514573474392618913,0.00000000000000000000
11.90160000000000017906,-0.29794218000508621014,0.03390181817014940174,-0.29794218000508698729,-0.03390181817014920052,0.14461019118949969275,0.00000000000000000000,0.85538980880660253625,0.00000000000000000000
11.90520000000000067075,-0.29775858059656989951,0.03390197881297730281,-0.29775858059657028809,-0.03390197881297760119,0.14436609391851090711,0.00000000000000000000,0.85563390607746947492,0.00000000000000000000
11.90879999999999938609,-0.29757535959556008498,0.03389629268153949992,-0.29757535959556258298,-0.03389629268153929870,0.14412201675154229230,0.00000000000000000000,0.85587798324432740049,0.00000000000000000000
11.91239999999999987779,-0.29739251133108041136,0.03388514015537259783,-0.29739251133108168812,-0.03388514015537359703,0.14387800044598139659,0.00000000000000000000,0.85612199955002576957,0.00000000000000000000
11.91600000000000036948,-0.29721002093798787325,0.03386895023707649915,-0.29721002093799359089,-0.03386895023707629793,0.14363408284342141230,0.00000000000000000000,0.85636591715273679970,0.00000000000000000000
11.91960000000000086118,-0.29702786445385609415,0.03384819685400469735,-0.29702786445385642722,-0.03384819685400480144,0.14339029853243789869,0.00000000000000000000,0.85660970146357251487,0.00000000000000000000
11.92319999999999957652,-0.29684600904747288075,0.03382339432150829883,-0.29684600904747349137,-0.03382339432150800046,0.14314667854108120704,0.00000000000000000000,0.85685332145492820732,0.00000000000000000000
11.92680000000000006821,-0.29666441337501797681,0.03379509202243530241,-0.29666441337501758824,-0.03379509202243589916,0.14290325006460929957,0.00000000000000000000,0.85709674993140305688,0.00000000000000000000
11.93040000000000055991,-0.29648302805971571416,0.03376386837176609951,-0.29648302805971271656,-0.03376386837176589828,0.14266003623441089743,0.00000000000000000000,0.85733996376146959228,0.00000000000000000000
11.93399999999999927525,-0.29630179628726061036,0.03373032414802060175,-0.29630179628725827889,-0.03373032414801969969,0.14241705593267781071,0.00000000000000000000,0.85758294406319124370,0.00000000000000000000
11.93759999999999976694,-0.29612065450817892653,0.03369507528496169801,-0.29612065450818209067,-0.03369507528496189924,0.14217432365693619123,0.00000000000000000000,0.85782567633892004011,0.00000000000000000000
